City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Nakusp,CA,86.47,scattered clouds,50.2499,-117.8023,Riders Retreat
6,Bandarbeyla,SO,76.73,few clouds,9.4942,50.8122,JABIR HOTEL
8,Celestun,MX,84.09,few clouds,20.8667,-90.4,Posada Lilia
10,Aksu,CN,78.94,clear sky,41.1231,80.2644,Pudong Holiday Hotel
14,Pisco,PE,60.85,mist,-13.7,-76.2167,Hotel San Isidro Oficial
16,Rikitea,PF,72.25,overcast clouds,-23.1203,-134.9692,People ThankYou
18,Riyadh,SA,87.94,scattered clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
19,Georgetown,MY,79.9,few clouds,5.4112,100.3354,Cititel Penang
20,Surt,LY,78.55,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
21,Carnarvon,AU,62.89,few clouds,-24.8667,113.6333,Hospitality Carnarvon
22,Kavieng,PG,82.08,light rain,-2.5744,150.7967,Nusa Island Retreat
23,Busselton,AU,60.33,light rain,-33.65,115.3333,Observatory Guest House
24,Vaini,TO,77.16,light intensity shower rain,-21.2,-175.2,Keleti Beach Resort
25,Ponta Do Sol,PT,72.72,clear sky,32.6667,-17.1,Hotel do Campo
26,Victoria,HK,91.26,scattered clouds,22.2855,114.1577,Mini Central
29,Maragogi,BR,74.26,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
30,Hilo,US,86.29,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
32,Saint-Philippe,RE,65.79,light rain,-21.3585,55.7679,Le four à pain
33,Chanika,TZ,60.08,scattered clouds,-5.4167,38.0167,New Rombo Green Hotel
35,Atuona,PF,77.43,clear sky,-9.8,-139.0333,Villa Enata
38,Palampur,IN,72.19,overcast clouds,32.1167,76.5333,FLB Resorts Jerry's Jungle Huts
39,Kenai,US,64.02,clear sky,60.5544,-151.2583,Aspen Extended Stay Suites
40,Pimenta Bueno,BR,80.69,scattered clouds,-11.6725,-61.1936,Cristalina Palace Hotel
41,Bahar,IR,60.96,clear sky,34.9072,48.4414,هتل ولفجر
43,Festus,US,98.62,scattered clouds,38.2206,-90.396,"Holiday Inn Express & Suites Festus - South St. Louis, an IHG Hotel"
45,Kapaa,US,84.52,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
46,Arraial Do Cabo,BR,71.55,clear sky,-22.9661,-42.0278,Pousada Porto Praia
47,Isangel,VU,80.71,moderate rain,-19.55,169.2667,Tanna Lodge
48,La Fria,VE,82.51,overcast clouds,8.2203,-72.2439,Estacionamiento de los toledos.
49,San Juan Evangelista,MX,82.98,scattered clouds,17.9,-95.1333,Salon INAPAM San Juan Evangelista
50,Tuktoyaktuk,CA,69.8,broken clouds,69.4541,-133.0374,End of The Road Ltd.
51,Katsuura,JP,81.18,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
52,Lorengau,PG,83.75,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
54,Arlit,NE,93.13,broken clouds,18.7369,7.3853,Case de Passage De la Prefecture
57,Quatre Cocos,MU,68.11,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
58,Saposoa,PE,75.9,clear sky,-6.934,-76.7716,Hostal Primavera
59,Puerto Ayora,EC,69.55,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
60,Havelock,US,82.35,clear sky,34.8791,-76.9013,Sherwood Motel
62,Saint-Joseph,RE,64.78,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
