City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mutoko,ZW,-17.397,32.2268,53.13,73,11,6.62,few clouds
1,Kaitangata,NZ,-46.2817,169.8464,40.3,86,13,2.84,few clouds
2,Dikson,RU,73.5069,80.5464,51.62,78,88,14.0,overcast clouds
3,Punta Arenas,CL,-53.15,-70.9167,37.51,75,0,17.27,clear sky
4,Hilo,US,19.7297,-155.09,85.28,79,100,8.05,overcast clouds
5,Marawi,PH,7.9986,124.2928,72.0,90,96,1.92,overcast clouds
6,Puerto Ayora,EC,-0.7393,-90.3518,78.76,85,38,5.99,scattered clouds
7,Nikolskoye,RU,59.7035,30.7861,69.69,79,16,5.64,few clouds
8,Faanui,PF,-16.4833,-151.75,78.19,73,20,9.51,few clouds
9,Nizhniy Tsasuchey,RU,50.5167,115.1333,66.88,80,58,2.64,broken clouds
10,Ostrovnoy,RU,68.0531,39.5131,51.78,89,98,16.82,overcast clouds
11,Menongue,AO,-14.6585,17.691,55.29,44,85,2.75,overcast clouds
12,Bluff,NZ,-46.6,168.3333,35.8,81,8,6.33,clear sky
13,Mataura,NZ,-46.1927,168.8643,35.47,80,13,2.93,few clouds
14,Guerande,FR,47.3291,-2.4283,65.62,74,46,11.95,scattered clouds
15,Makueni,KE,-1.8041,37.6203,55.11,89,38,1.7,scattered clouds
16,Tshikapa,CD,-6.4167,20.8,81.73,34,95,1.36,overcast clouds
17,Ushuaia,AR,-54.8,-68.3,35.26,93,100,21.85,light rain
18,Barrow,US,71.2906,-156.7887,42.82,81,100,11.5,overcast clouds
19,Erenhot,CN,43.6475,111.9767,70.03,32,84,14.76,broken clouds
20,Hithadhoo,MV,-0.6,73.0833,81.84,72,100,7.85,overcast clouds
21,Bretzfeld,DE,49.1794,9.4383,75.56,83,77,3.74,light rain
22,Saint-Philippe,RE,-21.3585,55.7679,64.22,84,47,14.32,light rain
23,Fortuna,US,40.5982,-124.1573,69.93,69,6,3.0,clear sky
24,Rikitea,PF,-23.1203,-134.9692,72.09,75,100,9.84,overcast clouds
25,Kruisfontein,ZA,-34.0033,24.7314,50.88,79,100,6.31,overcast clouds
26,Gallatin,US,45.6666,-111.2008,92.57,17,0,4.61,clear sky
27,Puerto Carreno,CO,6.189,-67.4859,78.78,94,40,11.5,thunderstorm
28,Torbay,CA,47.6666,-52.7314,77.77,53,75,10.36,broken clouds
29,Syumsi,RU,57.1111,51.6149,58.19,92,32,3.4,scattered clouds
30,Busselton,AU,-33.65,115.3333,59.47,80,73,20.87,broken clouds
31,Padang,ID,-0.9492,100.3543,77.9,85,98,4.0,overcast clouds
32,Linqiong,CN,30.4159,103.4609,67.82,95,8,1.39,clear sky
33,Deputatskiy,RU,69.3,139.9,53.78,47,96,9.57,overcast clouds
34,Te Anau,NZ,-45.4167,167.7167,38.62,86,58,1.59,broken clouds
35,Avarua,CK,-21.2078,-159.775,78.85,78,20,5.75,few clouds
36,Khorramshahr,IR,30.4397,48.1664,100.36,14,0,13.8,clear sky
37,Garden City,US,42.3256,-83.331,91.65,40,40,13.8,scattered clouds
38,Sinazongwe,ZM,-17.2614,27.4618,66.6,60,88,3.65,overcast clouds
39,Luderitz,NA,-26.6481,15.1594,58.12,68,49,15.12,scattered clouds
40,Esperance,AU,-33.8667,121.9,55.56,67,62,16.49,broken clouds
41,Necochea,AR,-38.5473,-58.7368,44.04,89,85,6.55,overcast clouds
42,Lebanon,US,36.2081,-86.2911,98.65,52,0,4.61,clear sky
43,Tuktoyaktuk,CA,69.4541,-133.0374,73.4,46,75,8.05,broken clouds
44,Kavieng,PG,-2.5744,150.7967,82.6,76,28,10.49,light rain
45,Georgetown,MY,5.4112,100.3354,78.89,97,20,3.44,few clouds
46,Khilok,RU,51.3674,110.4676,59.74,97,100,4.0,overcast clouds
47,Bredasdorp,ZA,-34.5322,20.0403,55.13,91,100,9.31,light rain
48,Hermanus,ZA,-34.4187,19.2345,53.8,83,100,12.97,light rain
49,Maumere,ID,-8.6199,122.2111,74.34,76,78,6.31,broken clouds
50,Qaanaaq,GL,77.484,-69.3632,37.9,94,100,7.99,light rain
51,Klaksvik,FO,62.2266,-6.589,50.92,84,100,7.49,overcast clouds
52,Touros,BR,-5.1989,-35.4608,75.6,85,100,13.98,overcast clouds
53,Kijang,KR,35.2442,129.2139,76.73,84,25,5.12,scattered clouds
54,Ancud,CL,-41.8697,-73.8203,40.23,97,100,18.43,moderate rain
55,Port Alfred,ZA,-33.5906,26.891,62.31,67,100,10.89,overcast clouds
56,Harqalah,TN,36.0303,10.509,82.26,83,0,3.44,clear sky
57,Hobart,AU,-42.8794,147.3294,51.26,87,75,5.75,broken clouds
58,Albany,US,42.6001,-73.9662,88.45,55,46,4.65,scattered clouds
59,Sistranda,NO,63.7256,8.834,53.56,87,29,16.24,scattered clouds
60,Acarau,BR,-2.8856,-40.12,79.45,79,81,15.64,broken clouds
61,Narsaq,GL,60.9167,-46.05,61.02,74,42,4.56,scattered clouds
62,Lorengau,PG,-2.0226,147.2712,82.89,78,33,10.38,scattered clouds
63,Butaritari,KI,3.0707,172.7902,81.37,75,47,9.62,scattered clouds
64,Guilin,CN,25.2819,110.2864,75.31,88,1,1.77,clear sky
65,Bosobolo,CD,4.1833,19.9,67.96,99,100,1.54,overcast clouds
66,Ribeira Grande,PT,38.5167,-28.7,73.65,89,80,5.73,broken clouds
67,Provideniya,RU,64.3833,-173.3,46.24,79,76,6.85,broken clouds
68,Kodiak,US,57.79,-152.4072,54.91,71,100,11.5,overcast clouds
69,Comodoro Rivadavia,AR,-45.8667,-67.5,37.26,48,0,9.22,clear sky
70,Leningradskiy,RU,69.3833,178.4167,37.99,83,89,9.06,overcast clouds
71,Taltal,CL,-25.4,-70.4833,57.09,85,100,3.33,overcast clouds
72,Rawson,AR,-43.3002,-65.1023,41.22,35,98,4.0,overcast clouds
73,Macia,MZ,-25.0269,33.0989,61.27,95,6,3.91,clear sky
74,Hirara,JP,24.8,125.2833,84.47,84,20,9.22,few clouds
75,East London,ZA,-33.0153,27.9116,66.42,50,29,11.68,scattered clouds
76,Iskateley,RU,67.6803,53.1512,49.71,82,100,11.61,light rain
77,Roald,NO,62.5833,6.1333,57.33,87,40,20.71,scattered clouds
78,Mpongwe,ZM,-13.5091,28.155,62.44,51,83,7.65,broken clouds
79,Qasigiannguit,GL,68.8193,-51.1922,50.25,95,100,6.42,light rain
80,Longyearbyen,SJ,78.2186,15.6401,48.04,87,75,4.61,broken clouds
81,Marinette,US,45.1,-87.6307,90.05,37,20,11.5,few clouds
82,New Norfolk,AU,-42.7826,147.0587,50.92,85,100,2.35,overcast clouds
83,Acapulco,MX,16.8634,-99.8901,87.62,70,75,9.22,broken clouds
84,Fare,PF,-16.7,-151.0167,77.92,75,9,9.51,clear sky
85,Matara,LK,5.9485,80.5353,77.59,89,99,13.47,overcast clouds
86,Deniliquin,AU,-35.5333,144.9667,53.06,71,100,8.59,light rain
87,Rehli,IN,23.6333,79.0833,77.04,91,100,6.02,light rain
88,Gamba,GA,-2.65,10.0,68.32,87,27,6.31,scattered clouds
89,Bathsheba,BB,13.2167,-59.5167,83.01,84,20,13.8,few clouds
90,Constitucion,CL,-35.3333,-72.4167,53.67,93,30,8.16,scattered clouds
91,Kagadi,UG,0.9606,30.7967,68.09,49,56,2.15,broken clouds
92,Bambous Virieux,MU,-20.3428,57.7575,66.45,100,75,10.36,light rain
93,Lavrentiya,RU,65.5833,-171.0,44.28,87,100,10.92,overcast clouds
94,Portland,US,45.5234,-122.6762,80.15,52,40,8.05,scattered clouds
95,Sao Filipe,CV,14.8961,-24.4956,75.18,81,72,1.83,broken clouds
96,Bima,ID,-8.4667,118.7167,71.94,92,95,4.18,overcast clouds
97,Royal Tunbridge Wells,GB,51.1325,0.2633,63.09,47,52,4.43,broken clouds
98,Castro,BR,-24.7911,-50.0119,59.0,71,81,2.19,broken clouds
99,Cairo,EG,30.0626,31.2497,79.56,73,0,8.05,clear sky
100,Kremenchuk,UA,49.0973,33.4197,60.85,89,2,9.17,clear sky
101,Lompoc,US,34.6391,-120.4579,86.02,72,0,21.99,clear sky
102,Kajaani,FI,64.2273,27.7285,60.85,72,0,6.91,clear sky
103,Egvekinot,RU,66.3167,-179.1667,38.1,83,100,10.18,overcast clouds
104,Saskylakh,RU,71.9167,114.0833,53.08,59,92,7.65,overcast clouds
105,Atuona,PF,-9.8,-139.0333,77.7,77,11,14.9,few clouds
