City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Faanui,PF,2022-07-21 16:32:20,-16.4833,-151.75,77.22,73,19,12.39
1,Tuktoyaktuk,CA,2022-07-21 16:32:21,69.4541,-133.0374,51.8,87,100,2.3
2,Chokurdakh,RU,2022-07-21 16:32:22,70.6333,147.9167,37.53,55,94,7.54
3,Geraldton,AU,2022-07-21 16:32:23,-28.7667,114.6,61.63,62,54,11.65
4,Norman Wells,CA,2022-07-21 16:32:24,65.282,-126.8329,60.84,88,75,0.0
5,Ushuaia,AR,2022-07-21 16:32:25,-54.8,-68.3,31.62,93,75,24.16
6,Ucluelet,CA,2022-07-21 16:30:42,48.9329,-125.5528,57.09,93,68,1.01
7,Mataura,NZ,2022-07-21 16:32:26,-46.1927,168.8643,39.47,96,100,1.59
8,Vaini,TO,2022-07-21 16:32:28,-21.2,-175.2,66.36,100,20,4.61
9,Hobart,AU,2022-07-21 16:32:28,-42.8794,147.3294,39.27,90,0,1.01
10,Bengkulu,ID,2022-07-21 16:32:29,-3.8004,102.2655,75.63,92,72,4.23
11,Hofn,IS,2022-07-21 16:32:30,64.2539,-15.2082,55.42,76,100,6.91
12,Puerto Ayora,EC,2022-07-21 16:32:31,-0.7393,-90.3518,75.16,88,82,7.0
13,Bredasdorp,ZA,2022-07-21 16:32:32,-34.5322,20.0403,49.24,86,30,1.3
14,Salalah,OM,2022-07-21 16:32:33,17.0151,54.0924,77.09,94,100,5.75
15,Cordoba,AR,2022-07-21 16:32:33,-31.4135,-64.1811,66.76,36,100,3.0
16,Busselton,AU,2022-07-21 16:32:35,-33.65,115.3333,57.72,77,68,12.41
17,Punta Arenas,CL,2022-07-21 16:32:19,-53.15,-70.9167,35.71,75,20,21.85
18,Rikitea,PF,2022-07-21 16:32:36,-23.1203,-134.9692,74.55,73,36,12.15
19,Arica,CL,2022-07-21 16:32:37,-18.475,-70.3042,61.03,72,100,6.91
20,Hermanus,ZA,2022-07-21 16:27:49,-34.4187,19.2345,51.8,75,36,1.3
21,Sao Filipe,CV,2022-07-21 16:32:38,14.8961,-24.4956,75.76,86,75,7.76
22,Kodiak,US,2022-07-21 16:32:39,57.79,-152.4072,51.31,93,100,3.44
23,Malibu,US,2022-07-21 16:32:41,34.005,-118.8101,88.16,82,48,4.9
24,Awbari,LY,2022-07-21 16:32:41,26.5921,12.7805,94.44,14,0,8.68
25,Sobolevo,RU,2022-07-21 16:32:42,54.4299,31.8996,64.15,80,14,10.74
